station,date,year,month,day,variable,avg_value
2,2024-01-01,2024,1,1,O3,2.056813923076923
2,2024-01-01,2024,1,1,PM10,34.40987692307692
2,2024-01-01,2024,1,1,PM2,26.222434615384618
2,2024-01-01,2024,1,1,RAIN,0.0037393076923076924
2,2024-01-01,2024,1,1,RH,81.23173153846155
2,2024-01-01,2024,1,1,So2,1.4327661538461538
2,2024-01-01,2024,1,1,WDD,191.5840769230769
2,2024-01-01,2024,1,1,WDS,2.0926174615384614
2,2024-01-02,2024,1,2,O3,4.879237608695652
2,2024-01-02,2024,1,2,PM10,30.304792608695653
2,2024-01-02,2024,1,2,PM2,14.626107782608697
2,2024-01-02,2024,1,2,RAIN,0.0
2,2024-01-02,2024,1,2,RH,74.47064695652173
2,2024-01-02,2024,1,2,So2,1.4159057391304348
2,2024-01-02,2024,1,2,WDD,206.90133565217394
2,2024-01-02,2024,1,2,WDS,3.0549820000000003
2,2024-01-03,2024,1,3,O3,4.251149739130435
2,2024-01-03,2024,1,3,PM10,38.455421739130436
2,2024-01-03,2024,1,3,PM2,18.769535782608695
2,2024-01-03,2024,1,3,RAIN,6.643478260869566e-05
2,2024-01-03,2024,1,3,RH,72.59778347826087
2,2024-01-03,2024,1,3,So2,1.110994
2,2024-01-03,2024,1,3,WDD,243.3138782608696
2,2024-01-03,2024,1,3,WDS,3.1735808695652175
2,2024-01-04,2024,1,4,O3,4.613425411764706
2,2024-01-04,2024,1,4,PM10,42.79760529411765
2,2024-01-04,2024,1,4,PM2,22.53027505882353
2,2024-01-04,2024,1,4,RAIN,0.0
2,2024-01-04,2024,1,4,RH,68.27213294117647
2,2024-01-04,2024,1,4,So2,2.0250879999999998
2,2024-01-04,2024,1,4,WDD,210.46854470588235
2,2024-01-04,2024,1,4,WDS,2.7340277058823528
2,2024-01-05,2024,1,5,O3,5.24020565
2,2024-01-05,2024,1,5,PM10,41.2894115
2,2024-01-05,2024,1,5,PM2,22.575406
2,2024-01-05,2024,1,5,RAIN,0.0
2,2024-01-05,2024,1,5,RH,72.4345965
2,2024-01-05,2024,1,5,So2,1.251496
2,2024-01-05,2024,1,5,WDD,249.01554500000003
2,2024-01-05,2024,1,5,WDS,3.26993055
2,2024-01-06,2024,1,6,O3,7.189692307692308
2,2024-01-06,2024,1,6,PM10,41.70754153846154
2,2024-01-06,2024,1,6,PM2,14.457637230769231
2,2024-01-06,2024,1,6,RAIN,0.0
2,2024-01-06,2024,1,6,RH,58.55602461538461
2,2024-01-06,2024,1,6,So2,1.7449359090909091
2,2024-01-06,2024,1,6,WDD,215.9641023076923
2,2024-01-06,2024,1,6,WDS,4.024252076923077
2,2024-01-07,2024,1,7,O3,0.973441
2,2024-01-07,2024,1,7,PM10,65.70653
2,2024-01-07,2024,1,7,PM2,29.12668
2,2024-01-07,2024,1,7,RAIN,0.0
2,2024-01-07,2024,1,7,RH,71.65305
2,2024-01-07,2024,1,7,WDD,209.5514
2,2024-01-07,2024,1,7,WDS,1.028611
2,2024-01-08,2024,1,8,O3,2.45388925
2,2024-01-08,2024,1,8,PM10,31.434165
2,2024-01-08,2024,1,8,PM2,11.2032645
2,2024-01-08,2024,1,8,RAIN,0.0
2,2024-01-08,2024,1,8,RH,65.7284675
2,2024-01-08,2024,1,8,So2,2.07505
2,2024-01-08,2024,1,8,WDD,230.1889
2,2024-01-08,2024,1,8,WDS,2.520486
2,2024-01-09,2024,1,9,O3,3.944702347826087
2,2024-01-09,2024,1,9,PM10,50.544993043478264
2,2024-01-09,2024,1,9,PM2,22.800981739130435
2,2024-01-09,2024,1,9,RAIN,0.0
2,2024-01-09,2024,1,9,RH,71.42089913043478
2,2024-01-09,2024,1,9,So2,2.307159130434783
2,2024-01-09,2024,1,9,WDD,233.09656086956522
2,2024-01-09,2024,1,9,WDS,2.7331702173913044
2,2024-01-10,2024,1,10,O3,5.589065652173913
2,2024-01-10,2024,1,10,PM10,56.718194347826085
2,2024-01-10,2024,1,10,PM2,28.8281827826087
2,2024-01-10,2024,1,10,RAIN,0.011316391304347825
2,2024-01-10,2024,1,10,RH,74.52871434782608
2,2024-01-10,2024,1,10,So2,2.865096857142857
2,2024-01-10,2024,1,10,WDD,240.8874304347826
2,2024-01-10,2024,1,10,WDS,3.017699347826087
2,2024-01-11,2024,1,11,O3,6.165836478260871
2,2024-01-11,2024,1,11,PM10,45.0312552173913
2,2024-01-11,2024,1,11,PM2,24.425813521739133
2,2024-01-11,2024,1,11,RAIN,0.002173913043478261
2,2024-01-11,2024,1,11,RH,69.72502434782609
2,2024-01-11,2024,1,11,So2,2.728435043478261
2,2024-01-11,2024,1,11,WDD,187.8676304347826
2,2024-01-11,2024,1,11,WDS,3.03180547826087
2,2024-01-12,2024,1,12,O3,5.732385434782609
2,2024-01-12,2024,1,12,PM10,49.62225956521739
2,2024-01-12,2024,1,12,PM2,29.884473695652172
2,2024-01-12,2024,1,12,RAIN,0.0
2,2024-01-12,2024,1,12,RH,73.83951130434782
2,2024-01-12,2024,1,12,So2,2.09124347826087
2,2024-01-12,2024,1,12,WDD,240.1842391304348
2,2024-01-12,2024,1,12,WDS,3.2473912608695654
2,2024-01-13,2024,1,13,O3,6.004163173913043
2,2024-01-13,2024,1,13,PM10,40.72409956521739
2,2024-01-13,2024,1,13,PM2,19.55079104347826
2,2024-01-13,2024,1,13,RAIN,0.02449878260869565
2,2024-01-13,2024,1,13,RH,74.63787347826087
2,2024-01-13,2024,1,13,So2,2.5016452173913044
2,2024-01-13,2024,1,13,WDD,209.23001739130433
2,2024-01-13,2024,1,13,WDS,3.467771739130435
2,2024-01-14,2024,1,14,O3,5.548011782608696
2,2024-01-14,2024,1,14,PM10,37.94765739130435
2,2024-01-14,2024,1,14,PM2,23.90993713043478
2,2024-01-14,2024,1,14,RAIN,0.003140086956521739
2,2024-01-14,2024,1,14,RH,71.10348
2,2024-01-14,2024,1,14,So2,1.6967802727272727
2,2024-01-14,2024,1,14,WDD,245.66867391304348
2,2024-01-14,2024,1,14,WDS,3.534760347826087
2,2024-01-15,2024,1,15,O3,5.0713675652173915
2,2024-01-15,2024,1,15,PM10,44.72712608695652
2,2024-01-15,2024,1,15,PM2,18.24987543478261
2,2024-01-15,2024,1,15,RAIN,0.0017270869565217393
2,2024-01-15,2024,1,15,RH,65.21527173913044
2,2024-01-15,2024,1,15,So2,3.5880742173913043
2,2024-01-15,2024,1,15,WDD,142.17059956521737
2,2024-01-15,2024,1,15,WDS,3.2537319130434783
2,2024-01-16,2024,1,16,O3,2.6866494999999997
2,2024-01-16,2024,1,16,PM10,51.77592833333333
2,2024-01-16,2024,1,16,PM2,24.849339944444445
2,2024-01-16,2024,1,16,RAIN,0.0
2,2024-01-16,2024,1,16,RH,61.98466
2,2024-01-16,2024,1,16,So2,3.166719777777778
2,2024-01-16,2024,1,16,WDD,136.60578777777778
2,2024-01-16,2024,1,16,WDS,2.150131111111111
2,2024-01-17,2024,1,17,O3,4.060770857142857
2,2024-01-17,2024,1,17,PM10,46.71993571428572
2,2024-01-17,2024,1,17,PM2,14.163731142857143
2,2024-01-17,2024,1,17,RAIN,0.0
2,2024-01-17,2024,1,17,RH,40.874415
2,2024-01-17,2024,1,17,So2,3.255541
2,2024-01-17,2024,1,17,WDD,86.28342714285714
2,2024-01-17,2024,1,17,WDS,3.102539785714286
2,2024-01-18,2024,1,18,O3,3.1737595652173916
2,2024-01-18,2024,1,18,PM10,88.35672660869565
2,2024-01-18,2024,1,18,PM2,47.33779204347826
2,2024-01-18,2024,1,18,RAIN,0.0
2,2024-01-18,2024,1,18,RH,62.760307391304345
2,2024-01-18,2024,1,18,So2,2.184391347826087
2,2024-01-18,2024,1,18,WDD,174.16721391304347
2,2024-01-18,2024,1,18,WDS,2.448713695652174
2,2024-01-19,2024,1,19,O3,3.871859739130435
2,2024-01-19,2024,1,19,PM10,53.15974478260869
2,2024-01-19,2024,1,19,PM2,20.56218604347826
2,2024-01-19,2024,1,19,RAIN,0.0
2,2024-01-19,2024,1,19,RH,60.369661739130436
2,2024-01-19,2024,1,19,So2,2.777572954545455
2,2024-01-19,2024,1,19,WDD,168.28912739130436
2,2024-01-19,2024,1,19,WDS,2.283321304347826
2,2024-01-20,2024,1,20,O3,1.7193255714285716
2,2024-01-20,2024,1,20,PM10,66.1855692857143
2,2024-01-20,2024,1,20,PM2,32.33599857142857
2,2024-01-20,2024,1,20,RAIN,0.0
2,2024-01-20,2024,1,20,RH,68.84943428571428
2,2024-01-20,2024,1,20,So2,3.5818109999999996
2,2024-01-20,2024,1,20,WDD,153.8301657142857
2,2024-01-20,2024,1,20,WDS,2.2505654285714285
