station,year,month,hour,variable,avg_value
2,2024,1,0,O3,1.4730773793103449
2,2024,1,0,PM10,55.6106375862069
2,2024,1,0,PM2,31.578364137931036
2,2024,1,0,RAIN,0.0007423448275862068
2,2024,1,0,RH,74.86946827586206
2,2024,1,0,So2,2.0428795555555554
2,2024,1,0,WDD,182.6989424137931
2,2024,1,0,WDS,2.3434339310344825
2,2024,1,1,O3,1.614427423076923
2,2024,1,1,PM10,54.08038576923077
2,2024,1,1,PM2,32.938705
2,2024,1,1,RAIN,0.005405961538461539
2,2024,1,1,RH,77.13300730769231
2,2024,1,1,So2,1.837625043478261
2,2024,1,1,WDD,195.82595730769233
2,2024,1,1,WDS,2.103376
2,2024,1,2,O3,1.6713015
2,2024,1,2,PM10,53.94131423076923
2,2024,1,2,PM2,34.73881346153846
2,2024,1,2,RAIN,0.0
2,2024,1,2,RH,78.87829346153846
2,2024,1,2,So2,1.7583243478260868
2,2024,1,2,WDD,188.93665
2,2024,1,2,WDS,2.097517884615385
2,2024,1,3,O3,1.5137752962962963
2,2024,1,3,PM10,52.32177888888889
2,2024,1,3,PM2,36.51473296296296
2,2024,1,3,RAIN,0.0
2,2024,1,3,RH,80.09254629629629
2,2024,1,3,So2,1.6140152083333332
2,2024,1,3,WDD,191.2581811111111
2,2024,1,3,WDS,1.834254074074074
2,2024,1,4,O3,1.3601642592592593
2,2024,1,4,PM10,52.838857777777775
2,2024,1,4,PM2,33.417984814814815
2,2024,1,4,RAIN,0.0
2,2024,1,4,RH,80.81636814814816
2,2024,1,4,So2,1.490302956521739
2,2024,1,4,WDD,182.07427629629632
2,2024,1,4,WDS,1.6495885185185186
2,2024,1,5,O3,1.1782757777777777
2,2024,1,5,PM10,50.30816333333333
2,2024,1,5,PM2,36.68849518518518
2,2024,1,5,RAIN,0.0
2,2024,1,5,RH,81.46595777777777
2,2024,1,5,So2,1.6089660869565217
2,2024,1,5,WDD,193.54908
2,2024,1,5,WDS,1.6064557407407407
2,2024,1,6,O3,1.1029156296296296
2,2024,1,6,PM10,68.33884222222223
2,2024,1,6,PM2,39.383660740740744
2,2024,1,6,RAIN,0.0
2,2024,1,6,RH,82.23575592592591
2,2024,1,6,So2,1.4857264782608695
2,2024,1,6,WDD,189.46501814814815
2,2024,1,6,WDS,1.6432098888888889
2,2024,1,7,O3,1.0348611851851852
2,2024,1,7,PM10,78.50752111111112
2,2024,1,7,PM2,51.257666666666665
2,2024,1,7,RAIN,0.010478407407407407
2,2024,1,7,RH,81.86686222222222
2,2024,1,7,So2,1.7494401739130436
2,2024,1,7,WDD,211.49120814814813
2,2024,1,7,WDS,1.9458128148148148
2,2024,1,8,O3,1.4394062592592594
2,2024,1,8,PM10,91.14327592592592
2,2024,1,8,PM2,47.166626666666666
2,2024,1,8,RAIN,0.0010648148148148149
2,2024,1,8,RH,74.19681111111112
2,2024,1,8,So2,3.0930844000000004
2,2024,1,8,WDD,148.23868
2,2024,1,8,WDS,2.0192129259259257
2,2024,1,9,O3,2.3306145185185185
2,2024,1,9,PM10,73.49360777777778
2,2024,1,9,PM2,32.998912518518516
2,2024,1,9,RAIN,0.00012344444444444444
2,2024,1,9,RH,60.72544740740741
2,2024,1,9,So2,4.694711407407407
2,2024,1,9,WDD,148.95011037037037
2,2024,1,9,WDS,2.4162807777777777
2,2024,1,10,O3,4.715601814814814
2,2024,1,10,PM10,64.35097177777777
2,2024,1,10,PM2,25.242560222222224
2,2024,1,10,RAIN,0.002530851851851852
2,2024,1,10,RH,49.63879148148148
2,2024,1,10,So2,5.433786
2,2024,1,10,WDD,148.0549362962963
2,2024,1,10,WDS,2.4515482962962967
2,2024,1,11,O3,6.911803285714286
2,2024,1,11,PM10,50.53612864285714
2,2024,1,11,PM2,18.643716785714282
2,2024,1,11,RAIN,0.0
2,2024,1,11,RH,42.9978575
2,2024,1,11,So2,5.11216575
2,2024,1,11,WDD,164.72733785714286
2,2024,1,11,WDS,2.609256
2,2024,1,12,O3,9.195502571428571
2,2024,1,12,PM10,42.15336314285714
2,2024,1,12,PM2,13.787381392857142
