IDExpediente,Estado,Regional,Departamento,Municipio,Vereda,Class,TipoCombustible,TipoFuenteEmision,Cuenca,latitude,longitude,estacion_cercana_1,distancia_cercana_1,estacion_cercana_2,distancia_cercana_2,es_cercana
73640.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,CENTRO,,Otros,Horno,Río Bogotá,4.703417522164974,-74.22656074120917,6,1.49,14,2.2,True
73788.0,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,Resguardo,,Carbón,Caldera Horno,Río Suárez,5.318407377599899,-73.70428142050933,20,23.77,21,25.48,False
74314.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,LA PUNTA,,ACPM,Caldera Horno,Río Bogotá,4.800461743437419,-74.21035542351376,19,9.26,14,9.33,False
75972.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Fuel Oil No.8,Planta de Asfalto,Río Bogotá,4.678796745272664,-74.28411217939394,2,6.38,19,7.08,False
78824.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,El Hato,,Carbón,Caldera Horno,Río Bogotá,4.699589511070331,-74.19375177162796,6,2.46,14,2.74,True
79754.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Carbón,Horno,Río Suárez,5.186499421111086,-73.88197627029925,20,1.51,1,6.57,True
80558.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,La isla,,Coque,Caldera,Río Bogotá,4.744925265784511,-74.17508267728543,14,5.14,6,7.08,False
83236.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COTA,Vuelta Grande,,Carbón,Caldera,Río Bogotá,4.756802846772209,-74.14035346537922,22,7.2,14,9.09,False
88514.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,ACPM,Secadores,Río Bogotá,4.68744271057875,-74.28129363469138,2,5.37,19,6.23,False
89878.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,ACPM,Planta de Asfalto,Río Bogotá,4.680198773239136,-74.28289584257708,2,6.19,19,6.88,False
93120.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Fuel Oil No.8,Planta de Asfalto,Río Bogotá,4.685590329529632,-74.27629087264197,2,5.42,19,5.93,False
102214.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TENJO,La Punta,,NoAplica,NoAplica (área de operación),Río Bogotá,4.781656397575474,-74.18674334861848,14,7.75,19,8.69,False
104014.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,ACPM,Caldera,Río Bogotá,4.668429690322708,-74.26523633666623,6,6.28,19,6.69,False
109430.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,CASCO URBANO,,Madera,Caldera,Río Bogotá,4.73061248602139,-74.25431946798817,2,1.34,19,2.21,True
117700.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Fuel Oil No.8,PLANTA DE ASFALTO ADM,Río Bogotá,4.677815636514173,-74.2679517245167,19,5.96,6,6.13,False
119814.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Carbón,Caldera Horno,Río Suárez,5.189139417876079,-73.88027071141002,20,1.24,1,6.9,True
120014.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Carbón,Horno,Río Suárez,5.188686408335298,-73.8775198087606,20,1.4,1,6.94,True
121606.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Cabrera,,Carbón,Caldera Horno,Río Suárez,5.404332484014891,-73.67784659358865,21,15.49,11,15.95,False
123330.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,EL OLIVO,,Carbón,Horno,Río Bogotá,5.072532666468105,-73.96173186680015,12,2.58,10,8.3,True
124002.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chacua,,Otros,REACTOR,(sin definir),4.546549553646994,-74.24650790833029,5,2.4,3,5.16,True
124654.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FACATATIVA,Moyano,,Carbón,Caldera,Río Bogotá,4.794271656471029,-74.32465722228024,2,9.38,19,12.68,False
127196.0,Seguimiento y Control,Alto Magdalena,Cundinamarca,NILO,LA ESMERALDA,,ACPM,Caldera,Río Sumapaz,-3.350945111460051,-108.16097994759934,16,3800.92,5,3868.69,False
127300.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Casa Blanca,,Carbón,Caldera Horno,Río Bogotá,5.124111114499696,-73.90930461495846,1,1.58,9,7.31,True
128338.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COTA,Vuelta Grande,,Gas,Caldera Horno,Río Bogotá,4.741710643609742,-74.13242897551558,22,8.23,14,9.22,False
130078.0,Seguimiento y Control,Ubate,Cundinamarca,CUCUNUBA,Pueblo Viejo,,Carbón,Caldera Horno,Río Suárez,5.235020055600297,-73.80065993375005,20,9.91,1,15.81,False
131966.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,EL OLIVO,,Carbón,Horno,Río Bogotá,5.067304100739209,-73.95243509058483,12,3.05,9,8.23,True
134880.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Carbón,Caldera Horno,Río Suárez,5.188253149081619,-73.88006353101989,20,1.35,1,6.81,True
135212.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Pajarito,,Carbón,Caldera Horno,Río Bogotá,5.155501952928119,-73.92039921548076,1,4.0,20,6.45,True
135366.0,Seguimiento y Control,Almeidas y Municipio de Guatavita,Cundinamarca,SUESCA,CHITIVA,,Carbón,Horno,Río Bogotá,5.102860839254118,-73.80553322046644,9,9.01,1,10.42,False
135366.0,Seguimiento y Control,Almeidas y Municipio de Guatavita,Cundinamarca,SUESCA,CHITIVA ABAJO,,Carbón,Horno,Río Bogotá,5.10078911304372,-73.80339670128349,9,9.13,1,10.71,False
135366.0,Seguimiento y Control,Almeidas y Municipio de Guatavita,Cundinamarca,SUESCA,CHITIVA ABAJO,,Carbón,Horno,Río Bogotá,5.099270879183655,-73.80567902769707,9,8.83,1,10.53,False
135850.0,Seguimiento y Control,Ubate,Cundinamarca,UBATE,La Patera,,Otros,Horno,Río Suárez,5.306875406456808,-73.80306390803548,20,14.82,1,22.28,False
135850.0,Seguimiento y Control,Ubate,Cundinamarca,UBATE,La Patera,,Otros,Horno,Río Suárez,5.307454278663283,-73.80336136073772,20,14.85,1,22.33,False
136222.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FACATATIVA,Mancilla,,Carbón,Caldera,Río Bogotá,4.846983831770509,-74.34650179589275,2,15.46,19,18.53,False
136448.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,AREA URBANA,,Gas,Horno,(sin definir),4.556972237399485,-74.23073884225103,3,3.3,5,3.81,True
136490.0,Seguimiento y Control,Alto Magdalena,Cundinamarca,RICAURTE,BUENOS AIRES,,Carbón,Horno,Río Sumapaz,-3.4419289630505068,-108.07445933764659,16,3793.79,5,3861.59,False
136616.0,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,Estancia,,Otros,Horno,Río Suárez,5.328939839386754,-73.68600615127848,21,23.81,11,24.25,False
136886.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chacua,,NoAplica,FILTRO MOLINO PENDULAR,(sin definir),4.543745278497939,-74.24464013844505,5,2.07,3,5.31,True
137006.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Serrezeluita,,Otros,Molino,Río Bogotá,4.699729230701192,-74.22047602944497,6,0.7,14,2.11,True
137218.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chacua,,Carbón,Caldera,(sin definir),4.5491282600804475,-74.24692814341793,5,2.69,3,4.95,True
137254.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,CANOAS,,Otros,Barrilado de grafito ,Río Bogotá,4.582978439087634,-74.24243217681114,3,2.51,23,4.38,True
138622.0,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,Patio Bonito,,(sin definir),(sin definir),Río Bogotá,5.118907635516168,-73.8954349960792,1,1.13,9,6.17,True
139320.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,(sin definir),Horno,Río Suárez,5.190613195803246,-73.87958474565609,20,1.11,1,7.08,True
139882.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Fusunga,,Carbón,Horno,(sin definir),4.539442564163734,-74.20463477515344,5,4.59,3,5.3,True
141414.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FACATATIVA,Centro Urbano,,Otros,Aspiración molino Danioni I,Río Bogotá,4.80476559651936,-74.21355643778917,19,9.62,14,9.81,False
141586.0,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,Patio Bonito,,Carbón,Caldera Horno,Río Bogotá,5.127454811990184,-73.90118667346393,1,0.61,9,7.28,True
141774.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Canelón,,Carbón,Caldera,Río Bogotá,4.919869822773218,-74.06360501248838,13,6.23,17,6.39,False
141798.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,Puente Piedra,,ACPM,Planta de Asfalto,Río Bogotá,4.80476559651936,-74.21355643778917,19,9.62,14,9.81,False
141856.0,Seguimiento y Control,Sabana Centro,Cundinamarca,SOPO,Pueblo Viejo,,Gas,Caldera Horno,Río Bogotá,4.914466140453649,-73.93997679404697,18,4.45,15,7.68,True
142500.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Pajarito,,Carbón,Caldera Horno,Río Bogotá,5.146516959350765,-73.89997285814142,1,1.99,20,6.24,True
142884.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Fusunga,,Carbón,Horno,Río Bogotá,4.520138002374677,-74.19645293953957,5,5.25,8,6.12,False
144002.0,Seguimiento y Control,Ubate,Cundinamarca,SIMIJACA,Hato Chico,,Otros,Horno,Río Suárez,5.532379891649153,-73.83440456802114,21,22.04,11,22.36,False
144412.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Rabanal,,Carbón,Horno,Río Suárez,5.33671022354105,-73.70490190272402,21,23.57,11,24.03,False
144412.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Peñas,,Carbón,Horno,Río Suárez,5.33671022354105,-73.70490190272402,21,23.57,11,24.03,False
145760.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Panamá,,Gas,Horno,Río Bogotá,4.562457250245541,-74.21062594373767,3,2.67,23,3.67,True
146234.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COTA,Vuelta Grande,,Otros,TRITURADOR DE ESCOMBROS,Río Bogotá,4.756314499845698,-74.14058778462476,22,7.26,14,9.04,False
147752.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,Puente Piedra,,ACPM,Planta de Asfalto,Río Bogotá,4.818670893069072,-74.22727968673412,2,10.43,19,10.87,False
147870.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Tibitó,,Carbón,Caldera Horno,Río Machetá,4.9578196312945,-73.70782726554745,9,22.38,1,28.22,False
148522.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chacua,,Gas,HORNO DE SECADO,(sin definir),4.546209487015048,-74.24460931260283,5,2.34,3,5.07,True
150306.0,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,Patio Bonito,,(sin definir),(sin definir),Río Bogotá,5.125421030494849,-73.90439797153304,1,1.03,9,7.21,True
151254.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chusaca,,Gas,CAMPANA DE EXTRACCIÓN  PLOMO 1,Río Bogotá,4.535888872799148,-74.25191919047849,5,1.51,3,6.48,True
151706.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,El Cacique,,Carbón,Caldera,Río Bogotá,4.730851780541538,-74.1913322996901,14,2.76,6,4.74,True
152236.0,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,Patio Bonito,,Carbón,Horno,Río Bogotá,5.132011888252765,-73.89917418037368,1,0.49,9,7.69,True
153454.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TABIO,Rio Frío Oriental,,Carbón,Horno,Río Bogotá,4.957922845608089,-74.06308125331644,13,6.15,10,8.84,False
153534.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.065794389946128,-73.95486125585315,12,2.73,10,8.16,True
153780.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Tibitó,,Gas,Horno,Río Bogotá,4.968520890391967,-73.96514953656599,15,1.07,18,3.2,True
154266.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Mortiño,,Carbón,Caldera,Río Bogotá,5.044340815540402,-73.93683866225531,12,4.6,9,6.94,True
154302.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Otros,TRITURADORA,Río Bogotá,4.686963005306945,-74.2827445943305,2,5.47,19,6.39,False
154404.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Carbón,Chimenea 1,Río Suárez,5.188262627219513,-73.88146159849582,20,1.32,1,6.77,True
154642.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Fusunga,,Gas,Horno arcillas de Soacha tipo túnel,(sin definir),4.562913081165238,-74.20962458225799,3,2.66,23,3.61,True
155148.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Canavita,,Gas,Horno,Río Bogotá,4.94890310168157,-73.94601077555946,18,2.9,15,4.1,True
155298.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.06757508437556,-73.95086588094019,12,3.22,9,8.06,True
155300.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Coque,Horno,Río Suárez,5.187104937201386,-73.88082155045036,20,1.45,1,6.67,True
155300.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Coque,Horno,Río Suárez,5.187113982906728,-73.88083056744304,20,1.45,1,6.67,True
155530.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.077117471050673,-73.96184828721185,12,2.98,10,8.73,True
156070.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Otros,Caldera,Río Bogotá,4.67388255865053,-74.26556225033188,6,6.05,19,6.18,False
161770.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Coque,Horno,Río Suárez,5.184166157402317,-73.88134560550077,20,1.77,1,6.34,True
164064.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.072758477228417,-73.96027087464054,12,2.71,10,8.41,True
164066.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.072757472919745,-73.95485994243853,12,3.15,9,8.53,True
164672.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.074149403244205,-73.9512974754703,12,3.56,9,8.16,True
166012.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Chuntame Alto,,Otros,TRITURADOR DE MATERIAL,Río Bogotá,4.906383841408903,-74.01451335072929,13,3.67,18,6.15,True
